content,rating
"Nhận xét để các bạn tham khảo: - Giao hàng nhanh, đóng gói cẩn thận, bên ngoài còn bọc giấy bóng nữa; - Sách bìa cứng, giấy in hơi nhám nhám, chữ rõ ràng Mình mua 3 cuốn nên ship chỉ 14 nghìn Tóm lại đánh giá 5 sao",5
"Đọc mới hiểu vì sao nó lại là cuốn sách hay nhất mọi thời đại. Khi đọc sách mình nhận thấy những thiếu sót của bản thân, hoặc những thiếu sót mình đã nhận ra từ lâu mà chưa biết cách diễn đạt thì cuốn sách đã thực sự thay đổi tư duy và cả ứng xử của mình quá nhiều. Chưa kể sách bìa cứng với giá rất hợp lý, hơn nữa mình rất thích giấy màu ngà vàng, cảm giác đọc rất thích!!! Xin cảm ơn",5
"Mình mua sách đến nay cũng đã được 1 tuần. Về bề ngoài của sách,mình rất hài lòng. Tuy nhiên hôm nay khi mình đọc đến trang 80 của sách thì mới nhận ra trang tiếp theo là 97 thay vì là 81.(có kèm hình) Mình khá ngạc nhiên vì đây là lần đầu tiên mình gặp trường hợp này. Mong Tiki giải quyết giúp mình. Mình cảm ơn!",2
"Thật hài lòng với dịch vụ giao hàng của Tiki: nhanh và gọn. Nội dung sách rất tuyệt vời, giúp ta nhận thức đúng đắn hơn về những mối quan hệ, cách đối nhân xử thế và dạy ta cách làm người. Tôi nghĩ nếu ai đang có ý định mua cuốn sách Đắc nhân tâm thì nên bỏ thêm tiền một chút để mua được cuốn có bìa cứng này: chất lượng tốt hơn nhiều. Rất cảm ơn người giao hàng và Tiki.",5
"Khỏi phải nói về độ hot của e này. Nhưng với ng đó giờ chưa bao giờ đọc sách như mình quả là một thiếu sót lớn. Thông qua nó, mình kiểm soát được những câu nói k cần thiết, kiềm chế đc nóng giận k đáng có. Rất hay",5
"Bìa cứng cáp và góc cạnh rõ ràng, trông có vẻ khá là sang trọng, quý phái. Mực in đều, rõ ràng, tạo cảm giác thoải mái khi đọc sách. Nội dung của sách thì quá hay, mặc dù có nhiều tranh cãi xung quanh nó, nhưng cá nhân tôi nhận thấy thì tác giả là một người có hiểu biết uyên thâm, vôn sống sâu rộng nên sách của ông cũng chứa đựng nhiều thông điệp quý báu. Về dịch thuật, dịch giả đã biên dịch tác phẩm rất ""mượt"", trong sách không hề tồn tại đoạn văn nào có nội dung tối nghĩa cả. Tôi xin chân thành cảm ơn tác giả, dịch giả, Tiki, Fahasa, shipper, mẹ tôi, nhà cung cấp dịch vụ wifi, cửa hàng bán thẻ wifi, v.v... vì nhờ họ mà một quyển sách hay như đã đến được tay tôi.",5
"mình đã nghe trên sách nói trên youtube, đọc cuốn bìa mềm rồi, cảm thấy cuốn này giấy không được trơn mà sần sần, cố gắng lật trang nhẹ nhàng để không bị rách, nội dung thì rất hay, mua để thường xuyên đọc lại để khi cảm thấy cách cư xử của mình không tốt thì sẽ lôi ra đọc",5
"Không chỉ đưa ra lí thuyết suông, Dale Carnegie đã truyền tải những bài học đối nhân xử thế qua câu chuyện, các ví dụ hết sức thú vị... Về giọng văn và phong cách dịch thì không còn gì để bàn cãi... Mọi người đều nên đọc!",5
"Sách mới toanh. Bao hàng rất chắc chắn, không móp cạnh hay nhàu nát. Giao hàng cực nhanh, dù ở xa ngoại thành nhưng mới đặt chiều hôm qua thì sáng hôm sau tiki đã giao hàng rồi. Cảm ơn ơn nhiều ạ",5
"sách được bao bọc rất kĩ, giao hàng sớm hơn dự kiến",5
tuyệt vời mỗi tội sách hơi móp méo nhưng không ảnh hưởng đến giá trị bên trong cuốn sách,5
"Gio hàng nhanh, gói hàng cẩn thận chu đáo, sẽ ủng hộ Tiki nhiều hơn nữa",5
Rất hài lòng . Giao hàng nhanh sp mới đẹp mình mua rất nhiều sách ở tiki nhưng ko lần nào bị thất vọng cả. Sẽ ủng hộ nhiều ạ,5
sách ổn cầm nhẹ tay chứ không nặng như vài cuốn sách bìa cứng khác,5
"Sách rất hay. Mỗi người nên đọc qua một lần trong đời, bổ ích trong việc quản lý và trông dạy các con. Tiki đóng gói cẩn thận, giao hàng nhanh.",5
10 giao đặt hàng.11 giao tới nới. Rất hài lòng với hình thức giao hàng nhanh. Sách nguyên chất chưa có dấu hiệu sử dụng,5
"sách nhẹ, bọc cẩn thận, giao hàng nhanh chưa đầy 24h đã đc ship đến nơi.rát đáng mua ạ",5
"Một cuốn sách đổi đời bán chạy nhất mọi thời đại. Sách nói về cách làm người, cách đối nhân xử thế, giao hàng thì rất nhanh gọn, chất lượng sách thì khỏi chê",5
"đóng gói gọn gàng, bìa đẹp, cứng cáp, giấy đẹp, chữ viết rõ ràng, đẹp",5
"Giao hàng nhanh , chất lượng sản phẩm tốt",5
sản phẩm rất tốt.Giao hành đúng hẹn,5
"Tuyệt vời, không hổ danh là cuốn sách kinh điển. Không những mình mà em trai mình cũng rất thích quyển sách, nên mình đã mua 1 lúc 2 quyển để cả hai chị em cùng làm quyển sách gối đầu giường",5
"Rất hài lòng lên mua ạ, giao hàng nhanh. Cảm ơn shop !",5
"sách đẹp, bọc nilon cẩn thận nhưng không hiểu sao có q trang sách đã bị gấp",4
"Sách mới cóng dc bọc kín, bìa cứng nhưng cầm rất nhẹ, sách đẹp, Tiki giao nhanh trong 2 ngày là nhận dc r, cực kì hài long",5
"Giao hàng nhanh hơn 2 ngày.bìa sách cứng cáp. Các bạn nên bỏ thêm ít tiền để lấy quyển này thay vì quyển bìa mỏng, cầm cực thích tay",5
"Sách bìa cứng đẹp nhưng giấy hơi xấu, kiểu nhám nhám vàng vàng không thích",4
Siêu đẹp tôi nghĩ là ai mê sách thì nên mua sách thật,5
có giao nhầm sách không shop ?,1
okkkkkkkk,5
xịn,5
Rất hài lòng,5
"Chất lượng sách tốt, giao hàng đúng hẹn",5
Tuyệt vời luôn.,5
"Sách quá hay, không cần phải viết nhiều.",5
Sách đẹp và mới. Cảm ơn tiki nhiều.,4
sách đẹp,5
Sách rất đẹp,5
ok,5
mê li,5
"Hình thức đẹp, giao hàng đúng hẹn, không có gì phải phàn nàn về sản phẩm. Cảm ơn!",5
"Sách đẹp lắm ạ Hàng chất lượng và sách rất mới, mình sẽ ủng hộ tiki lâu dài",5
"Sách hay, tuyệt vời, phải chi trước đây mình siêng đọc sách, biết sách này khá muộn",5
"bọc kỹ, giao hàng nhanh",5
tuyệt vời,5
"Sách mới, bao bọc đẹp, giao hàg nhanh",5
một quyển sách gối đầu giường,5
"Sách nhẹ, giao hàng tốt!",5
Hàng tạm chấp nhận được .,5
Sách hay . Chất liệu sách rất tốt .,5
ok,5
Quá,5
đẹp,5
Chất lượng tốt,5
vận chuyển vì trời mưa nên hơi ướt và bị nhăn gần góc,4
"giao hàng nhanh , sách đẹp , giá cả hợp lí",5
rất hay và chất lượng,5
sách rata mới và dịch vụ gia,5
sản phẩm ok nhưng gói hàng ko chất chắn bị mốt mấy cạnh bìa,4
Sách đẹp nhưng phải đợi hơi lâu,4
"Rất rất nhẹ, chắc là do chất lượng của giấy",4
"sách giao đẹp, bao bọc kỹ, vì bìa cứng nên nhìn chất lượng hơn hẳn",5
Giao nhanh... rất hay,5
"Sách đẹp, giao nhanh. Nội dung sách rất hay!",5
Sách đẹp giao nguyên vẹn k bị móp méo,5
"k bọc giấy bóng, sách k bị lỗi móp, méo",5
sản phẩm tương đối tốt về thời gian thì chậm hơn so với dự kiến,4
xứng đáng là 1 trong những cuốn sách bán chạy nhất tg,5
sách bọc đẹp,5
rất hài lòng,5
Cuốn sách giúp mình thay đổi rất nhiều. Một cuốn sách hay nên có trên giá sách. Nó sẽ giúp bạn có cách sống đúng mực trong mọi tình huống.,5
sản phẩm có kiến thức tốt,5
Đúng là quá hay. Lần đầu tiên đọc cuốn sách như thế này,5
good,5
"Chất lượng giấy rất kém, bị dính keo ở đầu sách...",4
đóng gói cẩn thận,5
bìa cứng khác anh ơi,4
"sản phẩm tốt, đóng gói kỹ càng",5
Bìa cứng mà giá lại mềm,5
"Thiếu quà tặng sách nói, còn lại thì ok",4
Đóng gói chắc chắn+ giao hành nhanh,5
tốt,5
Sản phẩm chất lượng tốt,4
"Giao hàng siêu nhanh, đóng gói đẹp.",5
giao hàng nhanh đóng gói cẩn thận,5
"sách đẹp , bìa cứng cầm chắc tay",5
"Sách mới, bao bì cẩn thận, nội dung sách là những mẫu truyện về đời sống hằng ngày, cách đối nhân xử thế trong xã hội,....",5
Sản phẩm y như mô tả. Cảm ơn shop,5
"Chất liệu giấy xấu, ố và mực in mờ nhạt, chữ mờ nhạt",1
cuốn sách hay nhất mà tôi từng đọc!,5
siêu chất lượng 100₫,5
"Đóng gói đẹp , giao nhanh",5
Đóng gói cẩn thận,5
Bọc sp kỹ. Giao hàng đúng hẹn,5
G,5
"Giao hàng nha, đóng góp đẹp",5
chất lượng,5
sách hay,5
mình rất hài lòng !!!!!!!,5
"Đẹp, bìa gia công đẹp ,dùng để nhìn thì thích hợp nhất...",4
Tuyệt ạ,5
sách rất hay,5
"Giao hàng nhanh, sách hay",5
Sách hay và đáng đọc,5
Rất đẹp giao đúng hẹn,5
"Tiki giao hàng nhanh, chất lượng sản phẩm tốt. Sách hay và bổ ích, đáng để đọc.",5
Hay hay hay hay ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,5
Đóng gói cẩn thận,5
chất liệu giấy không được đẹp.,2
"rất đẹp, giống ảnh",5
Sách đẹp giao nhanh,5
"bìa cứng đẹp, giá tốt",5
"Giao hàng nhanh , sách tốt , giá cả phải chăng , đã mua tại tiki nhiều lần và rất hài lòng",5
"Sản phẩm đúng mô tả. Đừng yêu cầu nhập ký tự, m rất bận.",4
Hình thức và nội dung đều tốt .,5
"Sách mới, đẹp , giao hàng nhanh , mới đặt tối qua nay đã về",5
"Quyển sách rất đẹp, nội dung vẫn như quyển bìa mềm mà mình đã từng mua trên tiki. Rất thích quyển bìa cứng này",5
"đóng gói khá kĩ, sách đẹp",5
Đóng rất kĩ. Rất xịn xịn. Quá là thích luôn ạ.,5
Bìa sách bị rách một góc .,3
sản phẩm rata tốt! Tôi rất thích ẩn phẩm này!,5
"giao hàng nhanh, sách chất lượng còn nội dung thì khỏi phải bàn.",5
Sách bìa cứng có bọc được đóng gói cẩn thận,5
sách khá ok sau này sẽ mua,5
Tiki giao hàng nhanh thân thiện cho 5 sao. Sách đóng gói cẩn thận,5
"sách đẹp, rất nhẹ. thích nội dung của sách",5
"sách mới tinh, tôi cực kì hài lòng. giao hàng đúng hẹn",5
"Mình mua 6 cuốn nên tiki , chất lượnb ngoài mong đợi",5
sách còn nguyên tem in bằng màu giấy vàng nên đọc đỡ hại mắt,5
Chỉ vỏn vẹn hai từ “TUYỆT VỜI”,5
đóng gói cẩn thận. bây giờ tạm ổn. không biết sau này bìa có sao k,5
Chưa nhận được đơn hàng mà đã xác nhận,1
Sản phẩm đóng gói chắc chắn. Đúng với hình ảnh.,5
tốt,5
tốt,5
giấy in k đc đẹp cho lắm,3
đẹp,5
Rất hài lòng về tiki nha sách đẹp lắm,5
Tốt,5
đẹp cứng,5
Good,4
Sách hay,5
"Sách mới tinh, anh shipper dễ thương nữa",5
sản phẩm tốt đúng nhu mong đợi cảm ơn tiki,5
đã nhận,4
Sách hay,5
bề mặt có hơi trầy,5
tạm ổn,4
"Đóng gói cẩn thận, giao hàng nhanh chóng",5
"Sách giao đúng ngày, hàng chất lượng ok",5
Rất hài lòng,4
tuyệt,5
Cảm ơn.,5
Cuốn sách hay về cách giao tiếp và ứng xử tỏng cuộc sống. TIki đóng gói và giao hàng cẩn thận.,5
ok,5
Giao hàng rất nhanh,5
"sách ok, giáo hàng tốt nhanh hơn dự kiến",5
rất hay,5
sách hay giao đep,5
Đóng gói cẩn thận. Luôn ủng hộ tiki,5
Sách đẹp,5
tuyệt,5
okie,5
Rất hài lòng,4
ok,5
Rất hài lòng về sản phẩm. 4 sao :),4
hơi móp một chút nhưng kh sao :v,5
Hữu ích! Đáng có trong tủ sách của mỗi người.,5
giao hang nhanh,4
Ko còn gì tốt hơn nữa ạ,5
Tuyệt vời,5
"Sách đẹp, bìa dày, nội dung hay. Giao hàng nhanh.",5
đúng như mô tả,5
Được bọc rất kĩ càng,5
.,5
Rất hài lòng về sản phẩm chất lượng tốt,5
Bìa cứng xịn mới mọi người có thể tham khảo,5
Sách đẹp đóng gói cẩn thận,5
"Giao hàng nhanh, sách đẹp",5
"ok book, bìa cứng nên ko có bọc book care okkkkkkkkkk",5
sách đẹp,5
"Giao hàng nhanh , sách chất lượng",5
quá ok luôn,5
Sách rất mới và đẹp đóng gói cẩn thận,4
Rất Hay,5
"hàng về rất ok, sách mới, ko bị cong",5
tuyệt vời,5
"Giao hàng nhanh , bìa cứng , giá hơp lí",5
Good,5
Giao hàng nhanh. Sản phẩm đúng như trong ảnh.,5
sách hay,5
đẹp hay,5
Sách tốt. Giao hàng nhanh,5
"Sách thực sự rất hay, mới, bìa cứng, có phần dây ruy băng đỏ đánh dấu trang rất đẹp nữa!",5
"Sách đóng gói kĩ, giao hàng nhanh, nội dung cx rất tuyệt",5
Mua dùm nên ko bt Mà sách có bọc nên ko bị sao hết Khá ok,5
Sách được bọc cẩn thận mới và giao hàng siêu nhanh,5
Chất liệu sách cực kì tệ Giấy in hôi Hi vọng tiki cho trả lại,1
sách bản cứng gọn gàng giao hàng nhanh,5
tuyệt vời ạ,5
"Giao hành rất nhanh, bao bì cẩn thật, nội dung rất hay!",5
"sách không bị méo, rách, được gói cẩn thận. Giao hàng nhanh",5
sản phẩm đẹp nhưng bên vận chuyển quá tệ,1
"Giao hàng rất nhanh, sách rất mới, k bị cũ hay bị nhàu vò. Hàng chất lượng nên cho 5 sao hehe",5
"cực đỉnh, bao bì cực ok. thật sự rất thích",5
"hàng giao rất nhanh.Hàng rất đúng, lần sau sẽ ghé shop tiếp",5
"sách được bao bọc cẩn thận, đẹp",5
"Sách được bọc màng co, nguyên vẹn",5
sách rất hay,5
Quyển mới toe đc bọc cẩn thận á !,5
sách đẹp lắm ạ nhưng do em lười chụp quá nên không chụp đâu :3,5
Sách rất hay,5
"Sách đẹp lắm, bìa cứng mà quá rẻ, cảm ơn nhìu....",5
sách mình mới mua nhưng phần gập của sách đã có dấu hiệu bong,1
"đóng gói k có hộp, chỉ bỏ vào bọc sơ sài nên bìa bị gãy, giấy mỏng và vàng",3
"Sách mới, được đóng gói cẩn thận, ship nhanh hơn thời gian dự kiến",5
"Sách hay mới bọc kỹ , giao nhanh",5
Chất lượng sách không vấn đề gì. Về nội dung thì khỏi bàn sách kinh điển mà.,5
đây là 1 cuốn sách rất hay . Mình khuyên tất cả các bạn nên mua và đọc tiki bán sách chất lượng cx rất tốt cho ngàn sao lun,5
Đóng gói cẩn thận sách đẹp nên mua Mình lần đầu mua thấy ship hơi lâu,5
"Sách giao nhanh, tốt, nhưng phần bìa khi vận chuyển có bị cong, vênh ở góc",3
"Đắc nhân tâm, mình đã đọc rồi, h đặt mua thêm. sách hay",5
"Có màn bọc nên hàng rất đẹp, ko trầy xước gì mua sale nên giảm giá rất hời",5
Tiki giao hàng rất nhanh sách đẹp bọc nilon cẩn thận . Rất hài lòng,5
Đóng gói bao bì cẩn thận. Giao hàng cũng khá là nhanh chóng.,5
Đã nhận hàng. Bìa cứng xịn sò. Đóng gói cẩn thận. Cám ơn Tiki. Mình sẽ đọc thật kỉ!,5
"Bìa cứng chất lượng, đóng gói giấy kiếng nhìn xịn xò.",5
sách rất đẹp sách mới rất hay giao hàng cũng rất nhanh,5
Sách bị nát,3
sao lại giao phiên bản bìa này nhỉ. .chắc fahasa nhầm hả? cần một lời giải thích chính đáng,2
Giao hàng sớm .bọc cẩn thân.carm ơn tiki nhiều. Thấy thing thoang người khác mua hang bị lỗi nên khá lo ..nhung nhân hàng r thấy sach rât ổn,4
mình thích quyển sách này lắm! nó rất là có ý nghĩa nha!,5
Sách đẹp,5
"mẫu mã đẹp ,rất thú vị, giao hàng chu đáo",5
"Sách mới, còn bọc, sp tốt, 2 cuốn, 1 mới 1 cũ bìa .........",5
Rất hài lòng,5
tuyệt vời,5
Ok,5
Giao nhanh,5
Sách rất đẹp. Không quăn góc miếng nào luôn,5
"Hình thức đẹp, đóng gói gọn gàng",5
"Sách hay, nhưng giấy photo không mịn, hơi xấu",4
"Sách mới, bao bọc kỹ",5
rất hay luôn,5
"Sách được bọc bookcare cẩn thận ,sách hay",4
Rất hữu ích,5
mới toanh luôn,5
Oke lắm luôn,5
"Sách đóng gói kỹ, như hình, rõ nét",4
"sách đẹp, ship nhanh, oke mn nên mua nhoaaa",5
bọc cẩn thận giao nhanh. 5 sao,5
Đẹp,5
"Giao nhanh, gói kỹ,...nói chung là Ok",5
Hhh,5
Hay,5
đóng gói kĩ càng.chat lượng tốt,4
Sản phẩm ok giao hàng thân thiện :),5
Sách khá ổn,4
Sản phẩm tốt,5
great,5
Sách hay,5
Tuyệt vời,5
"Tiki giao hàng chất lượng, xứng đáng 5 sao",5
giao hàng nhanh lắm ạ và chắc sách hay rồi,5
"Sách đẹp và đóng gói chắc chắn, giao hàng nhanh.",5
sách đẹp.,5
"Sách đẹp, giao hàng nhanh",5
Giấy đẹp. Sách cầm cực sướng vì nhẹ tay.,5
Chấmmmmmmmmm,5
"giao hàng nhanh, sách nguyên vẹn không bị lỗi.",5
ok,5
Sp đóng gói kỹ và đẹp,5
Giao hàng nhanh đóng gói đẹp bìa và góc rất OK xứng đáng 5 sao,5
đóng gói tốt,5
"Giao hàng nhanh chóng, chiều nay đặt hàng sáng mai sách đã tới tay. Sách được bọc cẩn thận. Cảm ơn tiki.",5
sách hơi móp ở phần bìa,4
Giao hàng nhanh. Sách được bọc cẩn thận. Cảm ơn Tiki!,5
"sách đẹp, phù hợp vs giá",5
đẹp,5
"Sách đẹp, nội dung khỏi bàn luôn Sách đẹp, nội dung khỏi bàn luôn",5
Hài lòng,5
Cuốn sách này rất hay và tốt,5
"đóng gói sản phẩm,vv... ok",5
"Sách nguyên nilon, mới cứng, giá lại rẻ ,cám ơn shop",5
Sách đẹp lắm,5
bìa cứng bọc cẩn thận,5
"vận chuyện mạnh tay quá méo hết góc,và sách bị dính khả năng bị ướt trc đó",4
mình trân trọng sách. mình muốn tiki giao sách tốt. cảm ơn tiki vì đã đóng gói cẩn thận!!!,5
Bản dịch này không hay.Ai mua thì mua bản dịch của Nguyễn Hiến Lê đọc sẽ hay hơn.,1
"Bìa cứng nên nhìn rất đẹp, Shiper giao hàng vui vẻ, chu đáo. Trước đây có quyển củ bây giờ quyển mới này nhìn đẹp và sang hơn, cho 5 sao...",5
"Chữ bị phai mất đi , làm cho mình cảm thấy sách không được nguyên vẹn .Mình kiểu người rất yêu sách nên thấy vậy có chút khó chịu còn lại cũng rất ok",2
"Không hổ danh là cuốn sách hay nhất mọi thời đại.Sách giúp ta nhiều bài học trong cuộc sống,để hoàn thiện và phát triển bản thân..ngôn từ dễ hiểu...một cuốn sách đáng để đọc..",5
"1 sao vì dịch vụ shiper kém, rất nhiều lần bọc carton bị rách, xé toang hoác, nhà vận chuyển ko tôn trọng khách hàng. Shiper ko có tâm. Chất lượng đóng gói và vận chuyển quá cẩu thả.",1
"Tầm 5 năm trước đã được tặng cuốn này bản bìa mềm mà bị mất, bản bìa cứng rất xịn xò, được bọc bookcare cẩn thận, nội dung thì miễn bàn rồi",5
"Bìa cứng sao xinh nha Bao bọc chắc chắn lắm Nội dung thì quá nổi tiếng roi, k phải nói",5
ko còn j để nói luôn. sách hay lắm(cái này các mem bt òi) . mk mua đc vs giá 58k nên hung hướng .....có tiền dư để mua sữa đậu nành vừa uống vừa đọc,5
"bên ngoài sách k bị hư hỏng j ạ, nội dung thì mình chưa có tgian đọc nên chưa biết như nào mình sẽ cố gắng đọc trong tgian tới",5
fahasha cần dán kĩ vỏ túi để khi vận chuyển sách nhỏ không bị rớt ra ngoài nha. Còn lại thì mọi thứ rất ok,5
giao hàng đúng ngày bao gói cẩn thận ko bị j với sách . mọi người nên mua,5
"Cực kì hài lòng với chất lượng sách, bao bọc kĩ càng, đẹp, hay, rất đáng để mua",5
"Sách bọc kĩ, chất lượng giấy tốt, giao hàng nhanh ( mình đặt từ sáng hqua mà sáng nay đã nhận dc ) . Ủng hộ tiki!",5
"Sản phẩm được bao kín gọn gàng, giao hàng nhanh chóng, giấy đẹp mực đẹp, tuyệt vời. Mình sẽ luôn ủng hộ tiki, hy vọng mấy lần sau cũng sẽ được như thế ^^",5
"sách đẹp, vận chuyển lại nhanh nữa, nhưng mà do vận chuyển nên bị trầy 1 xíu nhưng không sao, nên mua nhé mọi người",5
Sách bao bì kĩ! Nhưng mà tiki giao hàng mà nhìn thùng hàng hết mún nhận luôn đó! Móp méo tùm lum nên sách cx bị móp luôn! Quá thất vọng,2
sách chất lượng và xứng đáng với đồng tiền bỏ ra. giao hàng đúng thời gian cam kết,3
"Xem lại giao hàng lâu và rách hộp, đóng gói sơ sài móp cạnh sách",1
hay,5
"sản phẩm tốt , giao hàng nhanh .",5
Ko hài lòng giấy wa kém..,1
rất tốt,5
"Sách đẹp, nội dung dễ hiểu",5
rất hay,5
sách ok lắm sẽ ủng hộ lâu dài,5
"Sách đẹp, ko bị cong mép hay hư hỏng nào",5
hài long,5
Rất ok,4
rat hai long. Se ung ho tiki,5
rất hay sách mới,5
good,5
"Sách mới, đẹp. Nội dung cuốn này thì không cần review thêm! Hài lòng lắm nha.",5
"Sách chất lượng, bìa cứng, mùi khá thơm",5
chất lượng giấy khá là không ổn cần xem xét thêm mục loại giấy trong chi tiết sản phẩm.,5
sách rất sạch . tiki gói hàng rất kĩ,5
Rất hài lòng với chất lượng của sách,5
Chất liệu giấy khá tốt đóng giói cẩn thật đặc biệt là sách hay nên đoc,5
"Sách mới toanh, giao hàng nhanh. Chưa đọc nên mình chưa đánh giá nội dung nha^^",5
Đúng sản phẩm,5
Sản phẩm được bọc đẹp. Rất ưng ý.,5
"sách dày và đẹp hơn mình tưởng! bìa cứng và mới nữa, đóng gói cẩn thận giao hàng thân thiện",5
"Ngay bìa sách bị lỗi in, mong nxb chú ý hơn",1
Sách rất đẹp giao hàng nhanh mn nên mua nha.,5
Rất hay đáng mua,5
"sách thì khỏi bàn, hay và rất ý nghĩa. Tiki giao hàng nhanh, bao bọc cẩn thận",5
"Cuốn sách nội dung rất hay, đọc rất tâm đắc, chất lượng sách rất ổn. Nên mua sách bìa cứng để bảo quản sách tốt.",5
"Sách chất lượng, 10/10",5
đỉnh kout lắm nha mn sách mới toanh có bọc luôn,5
sách mới nguyên seal góc sách hơi dập chút -1 sao,4
siêu hài lòng tiki giao hàng nhanh nhưng cho e hỏi e ms mua hàng lần đầu v làm.sao để mua sách được bọc nilon v ạ,5
Giao nhanh sách mới và đẹp,5
"Sách này k phải quyển có bản quyền từ gia đình D.Carnigie, chất lượng giấy nhám (bản gốc mịn hơn) và in chữ không đậm bằng bản gốc. Nhưng mà không sao nội dung vẫn như thế có đọc được rồi.",3
Tiki giao hàng cẩn thận sách đẹp lắm. Nội dung sách thì khỏi phải bàn cãi cuốn này quá nổi tiếng rồi.,5
"Dịch rất chán, không nên mua. Nếu bạn 0 biết gì về tiếng anh đọc cũng đã thấy lủng củng. Còn biết tiếng anh thì sẽ tức điên.",1
Hàng tốt mn ơiBEWTEYE5666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,5
"Tiki giao hàng rất nhanh, đặt sáng hôm trước tối hôm sau có luôn Sách đẹp, mới, chất lượng sách tốt. Mình mua bản bìa cứng thấy rất cứng cáp .",5
"Một cuôn sách tuyệt vời ! Ai cũng nên đọc ko chỉ 1 lần và có nó trong tủ sách gia đình ! Cách viết văn nhẹ nhàng , dễ hiểu ... Các ví dụ được nêu một cách tự nhiên và sâu sắc !",5
